Location,Edge,Frag
Almonte,25864,244
Alto,6728,72
Alviso Triangle,50604,326
American Canyon,156810,1212
Arrowhead,60790,473
Bayfront,16482,159
Bay Point,120968,533
Belmont Slough,52054,507
Benicia Industrial,10526,60
Bothin Marsh,46846,346
Bothin South,46846,346
Browns Island,NA,NA
Burdell Unit,5220,7
Byxbee Harbor,27592,162
China Camp,1506,30
Corte Madera,9932,81
Creekside,8600,13
Cullinan Ranch,36150,112
Dixon Landing,11868,129
Dotson North,7988,81
Doston South,7988,81
Enterprise,6342,17
Flood Control Basin,44652,198
Freeman Island,83978,490
Giant Marsh,44890,280
Goodyear,71904,459
Guadalcanal,29548,221
HARD Marsh,7578,22
Haystack,4176,8
Hayward,66210,322
Head Albrae,17276,23
Heerdt,66322,426
Hercules,2616,20
Hill Slough 8,169290,1282
Ideal Marsh,57300,260
Inner Bair,248776,2034
Joice Island,329852,2694
Belden's Landing,329852,2694
Mallard,53416,616
Mariner's Point,39790,176
Marta,19368,139
Martinez RS,35482,249
McLaughlin,5844,48
McNabney,11772,48
MLK,21392,77
Mountain View Slough,61202,562
Mundy,56710,485
Munster Property,9222,3
Muzzi North,24664,95
Muzzi South,53288,140
Newark Mouse Pasture,2126,16
New Chicago,2656,30
Novato,7030,50
Oakland Airport,3298,3
Piper Park,27618,208
Plummer Slough,9716,85
Whittell,9716,85
Point Pinole,20482,81
Professional Circle,6912,104
Radio Point,113704,567
Ravenswood CA,88280,531
Ravenswood Slough,88280,531
Renzel Wetlands,15338,110
Ringstrom,65568,136
Rush Creek,6298,40
San Bruno Canal,1198,43
San Mateo Bridge,7210,40
San Pablo Creek,79816,287
Snag Island,15162,180
Steinberger Slough,58864,521
Strip Marsh East,238234,1128
Tiscornia,4518,41
West Family,20608,43
West Sonoma Creek,158772,672
White Slough,18528,185
Winter Island,NA,NA
